nan,nan,nan,nan,2.834,2.239,1.451,2.174,2.272,1.017,0.651,0.464,0.580,1.953,4.018,0.344,2.981,4.751,3.918,0.607,0.616,0.293,nan,nan,nan,0.275,1.269,nan,nan,nan,3.509,2.297,1.921,3.126,3.901,nan,nan,nan,1.839,nan,nan,nan,1.045,1.117,1.699,0.815,0.206,0.179,0.758,1.499,0.789,1.136,0.759,1.523,0.605,0.837,0.165,0.374,0.072,0.207,0.041,0.008,nan,nan,nan,0.202,0.032,0.016,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.056,0.011,nan,nan,nan,nan,0.000,0.026,nan,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,0.000,0.000,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,0.000,0.000,0.000,nan,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,0.000,0.000,nan,nan,nan,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,0.000,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,2.327,1.756,1.793,1.456,2.400,1.309,0.335,0.523,0.132,0.122,0.287,2.543,1.384,1.522,3.108,1.747,2.120,1.458,1.230,1.708,nan,1.801,1.332,1.700,1.722,nan,1.816,2.785,1.447,2.317,2.883,1.110,2.418,nan,1.080,1.498,0.800,nan,1.180,0.984,1.372,1.340,0.854,0.064,0.165,0.431,0.864,0.453,0.811,0.431,0.765,0.513,0.951,0.791,0.000,0.662,0.020,0.242,0.020,0.000,nan,0.101,0.617,0.102,0.259,0.623,0.582,0.600,0.000,nan,0.621,0.000,nan,nan,0.000,0.214,nan,nan,nan,0.614,0.000,nan,nan,nan,0.216,0.000,0.120,0.000,nan,nan,0.000,0.114,0.000,0.013,nan,nan,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,nan,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,0.000,0.000,0.000,0.000,nan,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,0.000,nan,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.331,1.047,2.125,0.241,0.282,0.526,2.056,0.689,0.250,0.141,0.328,0.010,0.129,0.140,0.398,1.697,0.044,0.911,0.144,1.591,1.640,1.630,1.103,1.228,1.632,1.776,0.921,1.065,1.560,1.636,1.376,0.835,0.989,1.485,1.541,2.017,1.526,1.990,1.330,0.624,2.196,1.333,1.509,1.427,2.511,1.250,0.704,0.787,0.559,0.489,0.494,0.139,0.225,0.076,0.303,0.477,1.101,0.483,0.554,0.611,0.679,0.668,0.624,0.613,0.761,0.352,0.622,0.848,0.648,0.606,0.860,0.848,0.872,0.496,0.844,0.701,0.655,0.462,0.647,0.640,0.730,0.624,0.516,0.859,0.435,0.710,0.703,0.684,0.379,0.000,0.659,0.438,0.702,0.113,0.348,0.813,0.000,0.216,0.188,0.000,0.000,0.000,0.047,0.009,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.084,0.301,0.032,0.124,0.202,0.201,0.341,0.029,0.167,0.178,0.186,0.093,0.115,0.063,0.049,0.313,0.045,0.404,0.338,0.107,0.046,0.504,0.146,0.134,0.230,0.436,0.144,0.320,0.424,0.078,0.147,0.339,0.177,0.108,0.932,1.514,1.496,1.526,2.244,1.917,1.327,2.269,1.187,2.802,1.337,2.083,1.714,2.103,1.044,1.170,1.895,0.580,0.867,0.403,0.241,0.552,0.124,0.818,0.411,0.468,0.313,0.631,0.531,0.335,0.675,0.218,0.665,0.370,0.060,0.066,0.088,0.692,0.649,0.023,0.627,0.639,0.482,0.645,0.466,0.521,0.324,0.772,0.056,0.664,0.669,0.655,0.643,0.549,0.950,0.568,0.735,0.688,0.831,0.769,0.957,0.745,1.049,0.188,0.957,0.632,0.990,0.391,0.009,0.047,0.297,0.000,0.347,0.000,0.000,0.177,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan,nan,nan
0.054,0.118,0.123,0.050,0.146,0.144,0.037,0.053,0.169,0.121,0.260,0.082,0.043,0.019,0.025,0.078,0.027,0.043,0.076,0.100,0.084,0.217,0.155,0.205,0.042,0.173,0.081,0.023,0.087,0.176,0.204,0.071,0.066,0.143,0.193,0.493,0.571,0.104,0.767,1.512,0.287,0.783,1.301,0.985,0.288,0.811,1.546,1.141,1.141,1.164,1.956,1.560,0.407,1.136,0.467,1.683,1.131,0.659,0.829,0.338,0.142,0.073,0.094,0.046,0.129,0.163,0.131,0.052,0.144,0.072,0.035,0.049,0.046,0.127,0.020,0.034,0.014,0.153,0.011,0.031,0.143,0.059,0.168,0.031,0.198,0.097,0.033,0.082,0.219,0.654,0.084,0.238,0.064,0.627,0.299,0.130,1.082,0.663,0.802,0.699,1.040,1.247,0.676,1.061,1.099,0.750,1.044,1.125,0.554,0.000,1.191,0.000,0.449,0.000,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan,nan,nan,nan,nan
0.047,0.042,0.092,0.034,0.115,0.105,0.101,0.105,0.236,0.244,0.222,0.024,0.052,0.045,0.047,0.021,0.051,0.157,0.107,0.117,0.146,0.177,0.067,0.050,0.158,0.176,0.029,0.040,0.061,0.093,0.133,0.147,0.069,0.186,0.140,0.112,0.193,0.238,0.151,0.156,0.313,0.336,0.140,0.469,0.521,0.298,0.331,0.074,0.610,0.692,1.096,2.272,1.466,1.235,1.517,0.815,1.287,1.520,1.341,0.796,0.896,0.420,0.279,0.112,0.114,0.161,0.091,0.084,0.110,0.022,0.012,0.030,0.023,0.010,0.009,0.022,0.015,0.002,0.001,0.006,0.019,0.019,0.009,0.012,0.070,0.040,0.078,0.055,0.079,0.139,0.062,0.052,0.068,0.077,0.022,0.112,0.071,0.827,0.212,0.234,0.472,0.413,0.982,1.125,0.709,0.949,0.613,0.997,1.513,0.927,1.155,1.233,1.269,1.584,0.753,0.000,0.078,0.000,0.000,0.000,0.000,0.054,0.000,0.000,0.000,0.000,0.000,0.019,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,nan,nan
0.058,0.064,0.049,0.073,0.059,0.120,0.213,0.072,0.059,0.243,0.072,0.059,0.008,0.062,0.018,0.020,0.038,0.077,0.106,0.107,0.038,0.141,0.065,0.063,0.128,0.024,0.028,0.072,0.049,0.044,0.026,0.087,0.068,0.175,0.286,0.057,0.153,0.186,0.323,0.305,0.282,0.081,0.441,0.725,0.360,0.258,0.185,0.126,0.156,0.055,0.413,0.554,0.546,1.442,1.217,1.387,0.669,0.941,1.341,1.549,0.841,1.205,0.492,1.303,0.268,0.527,1.374,0.023,0.040,0.022,0.045,0.015,0.015,0.021,0.006,0.018,0.013,0.017,0.002,0.011,0.053,0.002,0.007,0.014,0.011,0.015,0.079,0.083,0.091,0.109,0.028,0.118,0.043,0.121,0.114,0.057,0.118,0.195,0.291,0.309,0.766,0.295,0.475,0.048,0.217,0.036,0.215,0.233,0.452,0.994,0.119,1.197,0.935,1.507,2.255,1.213,1.606,1.796,0.000,0.000,0.527,0.000,0.054,0.000,0.000,0.198,0.161,0.003,0.019,0.003,0.411,0.427,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.000,0.000,0.044,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.084,0.001,0.010,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,nan
0.059,0.069,0.052,0.066,0.023,0.237,0.131,0.101,0.063,0.070,0.151,0.057,0.023,0.015,0.013,0.040,0.030,0.035,0.044,0.068,0.067,0.024,0.096,0.107,0.033,0.030,0.053,0.086,0.068,0.024,0.070,0.037,0.160,0.146,0.273,0.195,0.029,0.354,0.344,0.476,0.419,0.290,0.208,0.325,0.143,0.079,0.132,0.180,0.086,0.148,0.094,0.394,0.480,1.127,0.962,0.454,0.726,0.809,0.272,1.457,1.779,1.256,0.951,1.184,1.484,1.600,1.281,2.088,1.516,0.771,0.500,0.007,0.045,0.455,0.010,0.010,0.008,0.244,0.008,0.626,0.018,0.077,0.009,0.004,0.010,0.019,0.010,0.053,0.059,0.071,0.090,0.110,0.044,0.010,0.055,0.264,0.313,0.400,0.513,0.280,0.221,0.428,0.213,0.139,0.103,0.325,0.178,0.164,0.192,0.190,0.088,0.158,0.209,0.246,0.592,1.337,1.770,2.459,2.590,1.426,1.901,1.183,2.129,1.938,1.369,0.958,0.198,1.010,2.130,1.250,0.427,2.237,1.202,0.000,0.000,0.000,0.000,0.304,0.000,0.031,0.000,0.384,0.000,0.663,0.000,0.069,0.402,0.000,0.000,0.407,0.000,0.042,0.000,0.000,0.000,0.000,0.081,0.000,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.096,0.000,0.000,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.000,0.346,0.000,0.000,0.131,0.000,0.711,0.000,0.000,0.000,0.000,0.000,0.648,0.000,0.951,2.304,2.295,0.000,1.086,2.542,0.000,0.000,0.000,0.000,0.948,0.000,0.375,0.074,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.063,0.000,0.008,0.006,0.000,0.001,0.000,0.000,0.000,0.000,0.000
0.064,0.049,0.084,0.014,0.074,0.015,0.120,0.204,0.118,0.105,0.111,0.091,0.013,0.005,0.015,0.011,0.012,0.076,0.099,0.054,0.025,0.038,0.044,0.050,0.022,0.027,0.048,0.073,0.017,0.068,0.038,0.059,0.097,0.211,0.219,0.218,0.349,0.358,0.303,0.378,0.153,0.303,0.249,0.070,0.034,0.053,0.058,0.056,0.093,0.082,0.110,0.123,0.359,0.503,0.531,0.577,0.532,0.548,0.251,0.707,1.605,1.519,0.831,0.442,1.428,1.085,0.215,1.379,1.567,1.899,1.406,1.703,1.676,1.688,1.229,1.712,0.901,0.899,1.164,1.776,1.868,1.061,1.817,1.852,1.190,1.841,1.825,0.024,0.003,0.022,0.086,0.173,0.182,0.300,0.056,0.165,0.227,0.061,0.197,0.267,0.186,0.019,0.423,0.612,0.213,0.356,0.137,0.144,0.094,0.075,0.037,0.276,0.470,0.500,0.448,0.545,0.322,0.248,1.767,1.750,1.352,1.745,2.082,2.279,2.110,2.413,1.427,2.995,2.105,3.017,1.964,1.858,3.128,2.525,2.273,2.282,2.338,0.000,0.875,0.000,0.382,2.337,0.291,2.360,2.390,0.402,2.461,1.142,0.404,2.476,0.407,0.000,0.869,0.000,0.000,0.709,0.000,1.007,0.000,0.910,0.000,0.000,0.793,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.802,0.000,0.836,0.000,0.000,0.000,0.000,0.928,0.000,0.096,0.932,0.000,0.096,0.000,0.000,0.000,0.389,0.675,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.670,0.000,0.000,0.000,0.000,0.806,0.000,0.940,0.000,2.431,1.141,0.000,1.431,2.293,2.413,2.306,1.241,2.418,1.803,2.287,1.647,3.261,2.428,3.128,2.525,3.551,2.307,3.569,2.528,1.658,2.793,2.694,2.793,0.073,0.786,0.073,0.000,0.001,0.992,0.000,0.691,0.000,1.045,0.000,0.000,0.000,0.000,1.168,1.106,0.544,0.000,0.062,0.044,0.001,0.006,0.000,0.000,0.000,0.000,0.000,0.000
0.037,0.010,0.011,0.064,0.046,0.098,0.018,0.177,0.151,0.074,0.082,0.087,0.036,0.022,0.015,0.041,0.015,0.049,0.018,0.092,0.124,0.063,0.058,0.018,0.041,0.026,0.049,0.034,0.061,0.028,0.055,0.045,0.047,0.183,0.340,0.306,0.421,0.279,0.247,0.096,0.247,0.235,0.193,0.170,0.028,0.113,0.031,0.031,0.124,0.262,0.089,0.028,0.081,0.301,0.360,0.248,0.549,0.478,0.597,0.712,0.833,1.679,2.225,0.376,0.626,0.297,0.213,0.105,0.169,0.736,1.056,1.604,1.657,1.332,1.700,1.741,1.665,1.165,1.896,1.319,1.961,1.704,1.955,2.010,1.923,1.966,2.578,2.582,1.125,1.837,1.862,0.030,1.036,1.745,0.986,0.128,1.850,0.101,1.975,0.837,0.162,0.669,0.304,0.401,0.533,0.170,0.129,0.078,0.032,0.137,0.226,0.304,0.288,0.391,0.393,0.346,0.122,0.310,0.266,0.602,0.032,0.727,0.321,0.177,0.650,1.076,2.004,1.171,0.048,0.932,2.115,0.088,1.151,2.264,2.290,2.317,3.248,2.509,2.312,2.464,3.355,1.475,2.222,2.847,3.101,2.021,2.305,3.165,2.859,2.049,3.476,2.585,2.465,2.628,2.653,1.745,2.484,2.511,2.414,2.519,2.662,1.841,2.489,2.610,2.523,2.500,2.468,1.452,1.348,2.660,2.506,1.718,2.528,2.684,1.636,2.510,2.026,2.555,2.631,2.065,2.562,2.641,1.549,2.578,1.278,0.389,1.676,2.685,1.574,0.000,0.000,0.000,0.000,0.000,0.963,0.670,2.692,2.744,1.397,2.607,2.688,2.511,1.795,2.482,2.593,2.685,3.081,2.242,3.290,1.868,2.259,2.523,2.185,2.224,2.331,1.628,2.139,1.386,0.271,0.192,2.253,1.327,0.136,2.541,2.685,2.452,2.666,1.760,3.892,2.764,2.745,0.690,1.418,2.996,2.770,2.785,1.930,2.945,2.991,3.142,1.915,2.972,2.468,3.257,3.177,1.106,0.544,0.375,0.001,0.043,0.000,0.001,0.000,0.000,0.000,0.000,0.000
