nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,0.060,0.044,0.147,0.266,0.006,-0.043,0.042,0.406,0.145,0.108,0.191,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.049,0.028,0.145,0.295,nan,nan,nan,nan,nan,-0.034,0.487,0.466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,-0.199,-0.050,0.009,0.035,0.264,0.264,0.126,0.067,0.040,0.129,0.204,0.130,0.122,nan,0.172,0.196,0.238,0.112,nan,nan,0.056,-0.036,0.331,nan,nan,nan,0.132,0.011,0.025,0.290,0.163,nan,0.183,0.040,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.173,-0.087,nan,nan,nan,0.113,-0.008,0.005,0.168,0.286,0.245,nan,nan,nan,nan,nan,nan,0.249,0.119,0.053,nan,nan,nan,0.158,0.122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002,-0.049,-0.035,nan,0.196,0.322,nan,nan,0.364,0.156,0.096,0.018,-0.087,-0.030,-0.005,0.054,0.350,0.103,0.067,0.145,0.120,0.130,0.148,0.491,0.187,0.133,nan,0.348,0.019,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.116,nan,nan,nan
-0.050,0.198,0.190,0.031,0.013,0.023,-0.109,0.248,0.210,0.122,0.099,0.133,0.073,0.014,-0.031,-0.159,0.012,0.301,0.130,0.054,0.030,0.089,0.256,0.123,0.088,0.491,0.174,0.089,0.172,0.009,-0.058,0.039,0.214,0.121,0.036,0.011,-0.043,-0.112,nan,-0.018,0.142,0.098,0.215,0.433,-0.035,-0.027,0.084,0.066,-0.025,0.082,-0.005,0.253,0.129,0.156,0.039,-0.064,-0.045,0.167,0.362,0.228,0.209,nan,0.146,0.128,0.248,0.386,0.350,-0.044,0.003,0.109,0.151,0.112,0.219,-0.002,-0.089,0.437,0.293,-0.102,-0.157,0.067,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.446,0.140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.213,-0.149,-0.084,0.030,0.078,nan,nan,-0.159,0.226,nan,nan,nan,0.091,0.102,nan,0.062,-0.033,-0.028,0.056,0.204,0.184,-0.052,-0.043,0.004,0.110,0.078,-0.012,0.100,0.210,0.161,0.067,0.128,0.038,0.040,0.063,0.029,-0.004,-0.024,-0.006,-0.166,0.176,0.355,0.183,0.177,0.165,0.118,-0.073,0.076,0.070,0.303,0.034,-0.120,-0.076,0.126,0.367,0.196,0.007,-0.090,0.138,0.077,0.227,0.451,0.230,-0.025,nan
0.027,0.020,0.058,0.004,0.084,0.113,-0.106,-0.006,0.200,0.010,0.123,0.051,0.019,-0.070,-0.046,-0.049,-0.032,0.001,0.002,-0.022,0.056,-0.049,0.148,0.210,0.171,0.281,0.180,0.012,0.047,0.054,0.057,-0.125,0.023,0.010,0.071,0.031,-0.146,-0.056,-0.001,-0.032,-0.010,0.321,0.417,-0.046,0.015,0.048,-0.022,0.000,0.027,0.031,0.120,0.124,0.083,0.056,0.089,0.064,0.073,0.135,0.174,0.174,0.070,0.167,0.243,0.214,0.451,0.307,0.210,0.018,0.035,0.099,0.107,0.019,-0.094,-0.214,-0.076,0.094,0.472,0.263,-0.089,0.019,0.027,0.085,-0.024,-0.368,-0.304,0.134,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.095,-0.091,0.153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.065,nan,nan,nan,nan,nan,0.198,0.540,0.264,0.060,0.004,nan,-0.049,0.022,-0.102,-0.222,-0.122,0.277,nan,0.043,0.028,-0.026,-0.016,nan,nan,0.045,-0.009,-0.065,-0.046,0.004,0.131,0.229,0.055,-0.144,-0.089,0.101,0.121,0.066,-0.044,-0.032,0.131,0.327,0.301,0.355,0.159,0.052,-0.137,0.094,-0.044,0.033,0.058,0.083,-0.015,0.042,0.031,0.133,0.093,0.018,0.053,0.043,-0.014,0.109,0.081,0.015,-0.008,0.004,0.041,-0.006,0.008,0.038,0.026,-0.064,0.133,0.262,0.204,0.058,0.039,0.057,0.105,0.017,0.066,0.102,-0.034,0.057,0.155,0.319,0.151,0.047,-0.017,0.036,0.268,0.168,0.145,0.256,0.104,-0.107,-0.025
-0.024,0.014,0.013,-0.033,0.086,0.070,0.124,0.005,0.170,0.170,0.008,-0.017,-0.017,-0.088,-0.025,0.040,-0.055,-0.163,-0.123,-0.041,0.068,0.099,0.053,0.110,0.142,0.103,0.149,0.077,-0.045,0.054,0.025,-0.044,-0.086,0.061,0.001,0.016,-0.047,-0.032,-0.017,0.023,-0.029,0.223,0.178,0.002,0.028,0.001,-0.030,-0.077,-0.025,-0.008,0.046,0.137,0.155,0.158,0.069,0.184,0.065,-0.011,0.039,0.128,0.217,0.122,0.192,0.280,0.189,0.127,0.154,0.013,0.056,0.132,0.049,-0.006,-0.257,-0.091,0.042,0.025,0.244,0.029,0.042,-0.025,-0.042,0.012,0.058,-0.024,-0.074,-0.027,-0.003,0.048,-0.010,-0.041,nan,nan,nan,-0.019,0.052,0.121,0.034,nan,0.044,-0.136,0.022,0.169,nan,0.013,-0.015,-0.020,-0.014,0.089,0.061,-0.003,nan,-0.067,-0.050,-0.111,0.026,0.160,0.050,-0.098,-0.034,-0.052,-0.077,-0.012,-0.108,0.182,0.363,0.170,-0.084,-0.106,-0.049,0.007,-0.008,-0.006,0.053,0.053,-0.033,0.001,-0.023,-0.053,-0.036,0.016,-0.032,0.110,0.157,0.076,-0.063,-0.157,-0.058,-0.084,0.086,0.065,-0.080,-0.091,0.016,0.008,-0.031,-0.049,0.099,0.079,0.021,0.066,0.125,-0.020,0.064,0.070,0.025,0.051,0.111,0.128,0.094,-0.011,0.133,0.134,-0.070,-0.006,-0.006,0.010,0.037,0.040,0.016,0.074,0.015,0.028,0.079,-0.000,-0.026,-0.051,0.042,0.040,0.056,0.181,0.147,0.042,-0.041,-0.031,0.043,0.047,0.077,0.142,0.112,0.013,0.144,0.116,0.139,0.238,0.092,-0.056,-0.071,-0.093,0.042,0.010,-0.012,-0.010,0.098,0.071,0.001
-0.003,0.001,0.055,0.002,0.053,0.105,0.173,-0.011,0.033,0.215,-0.011,-0.028,-0.027,-0.052,0.015,-0.017,-0.037,-0.076,-0.043,0.003,-0.121,0.034,0.048,0.080,0.050,0.092,0.118,0.154,0.054,0.005,-0.039,-0.057,-0.050,0.149,0.071,-0.005,-0.016,0.017,-0.031,0.062,0.000,0.105,0.142,0.009,0.028,0.049,-0.028,-0.103,-0.029,0.009,-0.080,0.131,0.194,0.073,0.158,0.094,0.069,0.027,-0.009,0.037,0.130,0.186,0.239,0.171,-0.005,0.183,-0.053,0.089,0.180,0.111,0.087,0.015,-0.078,-0.061,-0.004,0.046,0.029,-0.043,-0.012,-0.083,-0.034,0.023,-0.023,-0.017,-0.012,-0.014,-0.061,-0.150,-0.052,-0.018,0.026,0.012,-0.007,0.000,-0.024,-0.092,-0.028,0.012,0.039,-0.052,-0.054,0.063,0.122,-0.043,-0.120,-0.040,0.065,0.033,-0.049,-0.006,-0.013,-0.055,-0.066,0.111,0.016,0.023,0.016,0.029,-0.020,-0.095,-0.094,0.017,-0.028,-0.077,-0.033,-0.132,-0.057,0.141,0.024,-0.087,-0.032,-0.015,-0.016,0.053,0.093,-0.038,-0.154,-0.085,-0.061,-0.038,0.107,0.152,0.078,-0.025,-0.078,-0.002,0.023,-0.019,-0.031,-0.014,-0.064,-0.104,-0.056,-0.081,-0.012,0.023,0.102,0.059,0.006,0.009,0.022,0.065,0.034,0.004,0.026,0.014,0.180,0.146,0.172,0.153,0.094,0.037,-0.018,-0.067,0.027,0.007,0.021,0.108,0.107,0.003,0.038,0.015,0.023,0.032,-0.044,0.015,0.034,0.099,0.073,0.099,0.039,0.039,-0.015,0.054,0.033,0.040,0.053,0.120,0.061,0.024,0.119,0.070,0.048,0.085,-0.001,-0.061,0.104,0.201,0.012,-0.035,-0.050,-0.064,0.002,-0.041,-0.013
0.022,0.031,0.034,-0.025,-0.028,0.226,-0.080,0.014,0.107,-0.017,-0.001,0.015,-0.007,0.010,-0.016,-0.035,0.053,0.068,0.021,-0.050,-0.083,-0.044,0.022,0.056,-0.007,0.038,0.165,0.092,0.027,0.073,0.069,0.038,-0.015,0.011,0.220,0.028,-0.156,0.007,0.058,0.066,0.094,0.094,0.024,-0.142,-0.041,-0.059,0.018,-0.022,0.006,0.046,0.037,0.037,0.077,0.085,0.086,0.141,0.052,0.043,-0.059,-0.059,0.101,0.217,0.171,0.140,0.170,0.134,0.106,0.166,0.181,0.143,0.042,-0.112,0.064,-0.002,-0.018,0.013,0.019,0.016,-0.037,-0.040,-0.048,-0.023,-0.025,-0.009,-0.003,-0.050,-0.006,-0.103,-0.149,-0.032,-0.060,-0.016,0.026,-0.001,-0.050,0.050,0.001,-0.021,-0.020,-0.025,-0.045,-0.084,-0.015,-0.036,-0.060,-0.040,0.018,0.006,0.005,0.016,-0.000,0.003,-0.089,-0.014,-0.025,-0.033,-0.068,-0.029,0.023,0.077,-0.081,-0.106,-0.022,-0.024,-0.042,-0.070,0.017,0.084,0.071,-0.020,-0.051,-0.030,-0.008,-0.021,-0.005,0.016,0.001,-0.094,-0.053,0.021,0.032,0.038,0.078,-0.050,-0.034,0.041,-0.029,0.014,-0.106,-0.065,0.011,-0.013,-0.024,-0.026,-0.037,-0.011,0.059,0.024,0.124,0.082,-0.046,0.059,0.071,0.030,0.083,-0.019,0.001,0.056,0.111,0.221,0.082,0.025,0.015,-0.073,-0.004,0.030,0.035,0.076,0.064,-0.002,0.002,0.007,0.124,0.183,-0.023,0.032,0.035,-0.003,-0.067,-0.049,0.013,0.012,0.064,0.111,0.021,-0.037,-0.026,0.109,0.161,0.082,-0.061,0.088,0.093,0.005,-0.039,0.042,0.213,0.414,0.134,0.142,0.031,-0.196,-0.094,-0.021,-0.031
-0.010,0.015,0.018,0.038,-0.018,-0.037,-0.043,-0.020,0.020,0.113,0.052,0.013,-0.033,0.016,0.024,0.008,-0.008,0.003,-0.013,0.052,0.099,0.032,0.007,-0.001,0.020,-0.023,0.076,0.000,0.093,0.085,0.145,0.059,-0.082,-0.110,0.191,0.098,0.065,0.011,0.102,0.099,0.024,0.016,0.023,-0.029,-0.126,-0.090,-0.075,0.043,0.054,-0.002,0.054,0.027,0.039,0.042,-0.001,0.113,0.081,-0.062,-0.018,-0.011,0.007,0.174,0.251,0.259,0.205,-0.034,0.087,0.085,0.097,0.156,0.146,0.055,0.034,-0.030,-0.042,0.011,0.046,0.039,-0.029,0.000,-0.030,-0.035,-0.011,-0.034,-0.026,-0.054,-0.063,-0.037,-0.076,-0.056,-0.098,-0.105,0.013,0.032,0.038,0.158,0.062,-0.062,-0.089,-0.047,-0.072,-0.041,-0.071,-0.046,-0.020,-0.078,-0.002,-0.005,0.019,0.041,0.053,0.016,-0.030,-0.089,0.015,-0.081,-0.154,-0.003,0.046,-0.020,0.016,-0.010,-0.078,-0.049,-0.045,-0.021,-0.063,-0.103,0.032,0.043,-0.007,-0.022,-0.021,-0.007,-0.027,0.003,0.009,0.079,-0.030,-0.106,0.021,0.065,0.031,0.069,0.001,-0.032,0.037,-0.060,-0.118,-0.081,-0.077,-0.018,0.010,-0.026,-0.024,0.018,0.060,0.084,0.102,0.054,0.065,0.019,0.110,0.039,-0.075,0.134,0.211,0.048,0.010,0.059,0.061,0.058,0.107,0.062,-0.004,-0.003,-0.005,-0.006,-0.022,0.016,0.016,0.054,0.119,0.098,0.153,0.151,0.077,-0.040,-0.032,-0.038,-0.037,0.027,0.028,-0.033,-0.001,0.012,-0.019,0.042,0.105,0.115,0.122,0.037,0.103,0.113,-0.040,0.311,0.335,0.291,0.148,-0.017,-0.095,-0.048,0.002,-0.043,-0.042
