nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,7.262,7.222,7.186,7.092,7.044,7.299,7.932,7.972,6.986,6.544,6.138,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.544,4.528,4.707,4.923,nan,nan,nan,nan,nan,5.416,5.656,5.998,6.221,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,7.231,7.186,7.257,7.208,7.043,6.855,7.264,7.170,6.798,6.417,6.603,6.305,6.294,nan,5.804,5.563,5.464,5.447,nan,nan,5.555,5.553,5.543,nan,nan,nan,5.158,5.133,5.159,5.071,5.004,nan,5.252,5.147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.827,4.059,nan,nan,nan,4.559,4.875,4.603,4.787,4.670,4.725,nan,nan,nan,nan,nan,nan,4.077,3.732,3.592,nan,nan,nan,3.821,3.825,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.566,3.159,3.382,nan,3.791,3.959,nan,nan,4.825,4.757,4.948,4.725,4.252,4.523,4.515,4.669,5.181,5.151,5.179,5.293,5.344,5.396,5.343,5.679,6.444,6.295,nan,6.435,6.734,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.300,nan,nan,nan
7.200,6.926,6.935,7.189,7.178,7.348,7.008,6.664,6.836,6.756,6.542,6.553,6.280,6.048,6.121,6.023,6.015,5.663,5.627,5.275,5.497,5.687,5.440,5.588,5.614,5.613,5.382,5.344,5.033,5.255,5.265,5.102,4.960,4.881,5.016,5.099,5.088,5.038,nan,5.362,5.201,5.618,5.868,7.129,4.116,4.341,3.918,4.310,4.195,4.017,3.822,4.811,4.562,4.880,4.231,4.264,4.399,4.476,4.658,4.408,4.509,nan,4.494,4.494,4.281,4.086,3.980,3.264,3.685,3.640,3.851,3.721,3.908,3.750,3.759,4.585,5.867,5.102,4.332,4.223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.427,5.394,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.867,4.591,4.703,4.773,4.756,nan,nan,4.564,4.693,nan,nan,nan,4.632,4.399,nan,4.420,4.306,4.034,4.111,4.148,4.129,3.742,3.798,3.732,3.738,3.557,3.388,3.914,3.988,4.198,4.215,4.495,4.715,4.778,4.926,4.752,4.599,4.665,4.481,4.609,5.134,5.104,5.210,5.373,5.537,5.551,5.755,6.052,6.200,6.523,6.657,7.122,6.973,7.136,7.410,7.759,7.496,7.048,6.936,6.791,7.001,7.613,7.179,7.384,nan
7.264,7.342,7.224,7.091,7.026,7.111,6.918,7.046,6.769,6.521,6.423,6.174,6.062,6.049,6.058,6.122,6.451,6.040,5.902,5.865,5.995,5.925,5.775,5.388,5.516,5.481,5.294,5.298,5.241,5.183,5.301,4.979,5.009,4.832,4.987,5.176,5.031,5.262,5.397,5.399,5.515,5.881,5.989,4.398,4.859,4.523,4.782,4.189,4.606,4.341,4.526,4.423,4.347,4.229,4.344,4.322,4.403,4.406,3.957,4.119,4.132,4.287,4.652,4.348,4.345,3.841,3.552,3.376,3.428,3.582,3.650,3.511,3.591,3.450,3.954,4.313,5.575,4.726,3.863,3.936,4.117,4.203,4.321,4.349,4.373,4.386,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.155,5.215,5.209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.200,nan,nan,nan,nan,nan,6.333,5.982,5.476,5.405,5.367,nan,5.421,5.690,5.381,5.389,5.565,6.012,nan,5.397,5.339,5.421,5.418,nan,nan,5.413,5.185,4.959,4.904,4.821,4.944,5.455,4.976,4.545,4.935,4.791,4.714,4.751,4.964,4.343,4.489,5.536,4.776,4.963,4.635,4.513,4.260,4.695,4.200,4.165,4.061,4.247,4.218,4.145,3.788,3.698,3.814,3.819,4.020,3.943,3.923,4.320,4.308,4.400,4.553,4.705,4.667,4.654,4.723,4.677,4.692,4.695,4.513,5.151,5.310,5.428,5.589,5.757,5.832,6.031,6.160,6.396,6.791,6.649,7.033,7.436,7.256,7.357,7.791,7.080,6.800,6.662,6.776,7.167,7.406,7.441,7.444
7.253,7.154,7.179,7.061,7.022,6.716,6.666,6.779,6.689,6.528,6.261,6.178,6.127,6.169,6.330,6.186,6.239,6.052,6.175,6.210,6.325,6.203,6.275,5.827,5.761,5.457,5.403,5.266,5.306,5.356,5.251,5.182,5.086,5.203,5.312,5.205,5.323,5.540,5.440,5.444,5.347,5.768,5.295,4.595,4.798,4.673,4.596,4.663,4.558,4.592,4.498,4.424,4.384,4.416,4.212,4.376,4.188,3.985,3.723,3.665,3.894,4.119,4.287,4.233,3.811,3.184,3.222,3.446,3.411,3.593,3.568,3.626,3.415,3.752,4.060,4.218,4.850,3.902,3.990,3.939,3.996,4.179,4.547,4.306,4.372,4.662,4.080,4.091,4.185,4.313,nan,nan,nan,4.807,4.996,5.561,5.066,nan,4.955,4.894,4.873,5.069,nan,4.882,4.960,5.207,5.296,5.170,5.125,5.053,nan,5.017,5.105,4.953,5.359,5.588,5.252,5.030,5.264,5.286,5.247,5.287,5.071,6.210,6.479,5.610,5.069,5.394,5.360,5.296,5.222,5.469,5.713,5.510,5.434,5.504,5.308,5.284,5.242,5.354,5.465,5.513,5.665,5.386,5.163,4.692,4.894,4.730,4.759,4.947,4.909,4.732,4.843,4.771,4.672,4.539,4.896,4.698,4.567,4.395,4.430,4.405,4.737,4.572,4.387,4.290,4.316,4.170,4.132,3.996,4.016,3.971,3.707,3.845,3.907,4.032,4.086,4.161,4.110,4.208,4.385,4.419,4.685,4.667,4.658,4.669,4.652,4.691,4.887,4.849,4.983,5.079,5.504,5.671,5.591,5.638,5.989,6.110,6.156,6.332,6.558,6.696,6.912,7.122,7.003,7.075,7.065,6.513,6.595,6.940,7.254,7.317,7.882,7.513,7.455
7.260,7.290,7.159,7.137,7.108,6.961,7.045,6.760,6.740,6.613,6.177,6.161,6.141,6.263,6.423,6.305,6.222,6.222,6.355,6.529,6.432,6.336,6.121,6.044,5.715,5.621,5.459,5.482,5.435,5.502,5.388,5.317,5.319,5.397,5.386,5.482,5.511,5.545,5.558,5.540,5.379,5.384,5.069,4.853,4.686,4.670,4.570,4.629,4.598,4.587,4.515,4.490,4.483,4.237,4.237,4.108,3.982,3.942,3.845,3.810,3.845,3.895,4.044,3.864,3.171,3.271,3.017,3.430,3.455,3.379,3.595,3.664,3.821,4.039,4.092,4.194,4.112,3.886,3.979,3.902,4.027,4.133,4.212,4.221,4.257,4.249,4.196,3.900,4.292,4.458,4.478,4.632,4.694,4.689,4.930,4.912,4.758,4.900,5.124,4.777,4.763,4.885,4.976,4.798,4.909,5.122,5.267,5.119,4.951,5.094,5.160,5.251,5.119,5.310,5.272,5.295,5.125,5.216,5.312,5.278,5.366,5.488,5.404,5.164,5.118,5.227,5.136,5.316,5.279,5.195,5.409,5.472,5.564,5.729,5.658,5.342,5.229,5.304,5.276,5.359,5.418,5.547,5.502,5.400,5.146,5.053,5.031,4.799,4.826,4.830,4.869,4.757,4.916,4.647,4.624,4.713,4.889,4.765,4.742,4.454,4.254,4.420,4.483,4.165,4.298,4.296,4.366,4.191,4.171,4.138,4.104,4.185,4.159,3.882,3.887,4.046,4.030,4.134,4.219,4.217,4.366,4.345,4.660,4.707,4.729,4.647,4.654,4.834,4.796,5.035,5.324,5.353,5.604,5.612,5.479,5.671,5.639,5.852,6.149,6.348,6.569,6.649,6.909,7.208,7.504,7.473,7.489,7.079,7.289,7.178,7.362,7.300,7.378,7.403,7.442
7.271,7.317,7.255,7.199,7.096,7.170,6.805,6.756,6.719,6.535,6.341,6.291,6.220,6.302,6.413,6.264,6.415,6.301,6.369,6.130,6.278,6.331,6.195,6.114,5.876,5.962,5.692,5.633,5.502,5.529,5.470,5.404,5.451,5.388,5.666,5.523,5.718,5.637,5.608,5.545,5.455,5.308,5.001,4.797,4.748,4.689,4.582,4.750,4.664,4.612,4.565,4.625,4.327,4.325,4.223,4.071,4.048,3.972,3.830,3.916,3.970,4.156,3.947,3.838,3.559,3.272,3.350,3.569,3.439,3.630,3.607,3.655,4.261,4.069,4.163,4.221,3.969,4.022,4.015,4.034,4.039,4.122,4.068,4.226,4.303,4.271,4.234,4.242,4.334,4.437,4.426,4.577,4.743,4.733,4.867,5.100,4.777,4.870,4.764,4.863,4.856,4.826,4.852,4.921,5.002,5.091,5.282,5.049,5.105,5.176,5.202,5.319,4.875,5.168,5.259,5.194,5.202,5.292,5.406,5.625,5.466,5.315,5.469,5.415,5.279,5.246,5.359,5.537,5.391,5.363,5.424,5.498,5.556,5.537,5.561,5.517,5.457,5.360,5.390,5.349,5.492,5.296,5.551,5.410,5.318,5.196,5.060,5.078,4.828,4.913,5.099,4.925,4.952,4.849,4.748,4.678,4.756,4.760,4.667,4.481,4.298,4.387,4.362,4.181,4.429,4.216,4.107,4.049,4.140,4.347,4.203,4.206,4.195,3.974,4.023,4.124,4.099,4.173,4.341,4.359,4.441,4.587,4.654,4.869,4.852,4.831,4.957,4.958,5.041,5.157,5.256,5.373,5.550,5.556,5.599,5.748,5.770,6.023,6.227,6.274,6.351,6.687,7.047,7.145,7.186,7.336,7.314,7.518,7.610,7.442,7.474,7.396,7.431,7.410,7.429
7.344,7.294,7.274,7.280,7.295,7.048,6.757,7.107,6.635,6.659,6.640,6.490,6.487,6.407,6.444,6.444,6.475,6.234,6.120,6.088,6.240,6.142,6.140,6.011,6.013,6.031,5.928,5.816,5.747,5.495,5.622,5.451,5.295,5.200,5.472,5.387,5.628,5.657,5.496,5.313,5.246,5.068,4.706,4.760,4.711,4.786,4.757,4.824,4.668,4.593,4.622,4.365,4.327,4.359,4.254,4.174,4.128,4.053,4.018,4.074,4.189,4.056,3.951,3.867,3.840,3.332,3.668,3.516,3.533,3.643,3.724,3.937,4.271,4.154,4.179,4.232,4.061,4.162,4.121,4.167,4.151,4.213,4.252,4.191,4.269,4.304,4.338,4.345,4.584,4.525,4.473,4.694,4.718,4.813,4.975,5.207,4.994,4.853,4.878,4.932,4.912,4.915,4.736,4.941,5.194,5.074,5.299,5.204,5.167,5.200,5.328,5.339,5.298,5.042,5.253,5.216,5.123,5.328,5.641,5.585,5.634,5.411,5.513,5.419,5.190,5.525,5.386,5.196,5.387,5.509,5.531,5.531,5.559,5.587,5.557,5.556,5.627,5.611,5.465,5.452,5.402,5.414,5.396,5.557,5.342,5.091,5.134,5.027,4.999,4.930,4.998,5.006,5.043,4.973,4.779,4.722,4.747,4.734,4.735,4.657,4.460,4.324,4.528,4.387,4.322,4.508,4.160,4.121,4.008,4.142,4.294,4.268,4.350,4.229,3.953,4.163,4.179,4.118,4.277,4.320,4.363,4.476,4.629,4.967,5.148,4.991,5.148,5.068,5.162,5.193,5.244,5.286,5.401,5.502,5.685,5.599,5.558,5.600,5.936,6.099,6.316,6.506,6.969,6.999,7.064,7.247,7.034,7.283,7.398,7.410,7.911,7.711,7.439,7.464,7.444
7.305,7.291,7.229,7.246,7.117,6.964,7.188,7.059,7.155,6.862,6.744,6.577,6.610,6.646,6.557,6.507,6.513,6.449,6.481,6.494,6.317,6.195,6.059,6.075,5.996,6.100,6.057,6.038,6.095,5.716,5.381,5.414,5.305,5.614,5.446,5.765,5.777,5.572,5.524,5.074,4.982,4.969,4.836,4.693,4.519,4.676,4.720,4.920,4.594,4.397,4.447,4.348,4.234,4.154,4.251,4.176,4.174,4.139,4.148,4.186,4.129,4.227,3.726,3.571,3.200,3.218,3.394,3.508,3.530,3.559,3.709,4.287,4.206,4.278,4.150,4.191,4.157,4.151,4.189,4.203,4.232,4.239,4.213,4.285,4.332,4.394,4.399,4.511,4.712,4.648,4.576,4.700,4.782,4.781,4.941,5.006,5.002,5.005,4.892,4.985,5.052,5.143,4.968,5.076,5.166,5.273,5.313,5.172,5.203,5.196,5.281,5.308,5.311,5.267,5.334,5.393,5.478,5.407,5.486,5.610,5.672,5.502,5.671,5.467,5.295,5.548,5.434,5.329,5.284,5.571,5.559,5.558,5.581,5.605,5.628,5.618,5.599,5.643,5.759,5.522,5.425,5.390,5.448,5.599,5.487,5.156,5.289,5.089,5.097,5.101,5.065,4.998,5.057,5.001,4.987,4.830,4.756,4.786,4.588,4.606,4.563,4.473,4.447,4.483,4.440,4.413,4.434,4.228,4.248,4.192,4.238,4.254,4.380,4.293,4.288,4.367,4.220,4.225,4.244,4.257,4.407,4.410,4.554,4.670,4.943,5.011,5.076,5.191,5.224,5.287,5.221,5.322,5.477,5.386,5.460,5.405,5.493,5.413,5.671,5.886,6.150,6.326,6.340,6.737,6.891,6.964,7.103,7.179,7.437,7.498,7.547,7.538,7.521,7.473,7.475
